Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
A1_f455e0f4	u	You do know that you're a girl,{w=0.1} right?	game/A1.rpy	2	u "[what]"
A1_1304568e	u	Also, you do know that I'm a guy,{w=.1} right?	game/A1.rpy	3	u "[what]"
A1_6d93dbf5	a	Haha,{w=.1} you don't say?	game/A1.rpy	4	a "[what]"
A1_500cc97d	a	Besides,{w=.1} we're friends!	game/A1.rpy	5	a "[what]"
A1_633d5287	a	You don't look at your {i}friend{/i} with {i}pervy eyes{/i},{w=.1} correct?	game/A1.rpy	8	a "[what]"
A1_7b1c1392	u	...	game/A1.rpy	9	u "[what]"
A1_c524fa7e		Now that I think of it...	game/A1.rpy	10	"[what]"
A1_94382ad0		How did she know I was doing philosophy?	game/A1.rpy	11	"[what]"
A1_5438d377		Was I reading aloud as I typed?	game/A1.rpy	12	"[what]"
A1_17b55ba7	u	How did you know I was doing philosophy?	game/A1.rpy	13	u "[what]"
A1_e8254233	a	It was{w=1} just~{w=1} a~{w=1} guess!	game/A1.rpy	16	a "[what]"
A1_8d8bda41		Her guesses are way too accurate.	game/A1.rpy	17	"[what]"
A1_f69d07ca		Then again,{w=.1} it's not like I have anything else to do other than work.	game/A1.rpy	18	"[what]"
A2_0b67e4c3		[a] is my best female friend from university.	game/A1.rpy	22	"[what]"
A2_1731cdab		She majors in music and minors in literature,{w=.1} while I major in philosophy and minor in maths.	game/A1.rpy	23	"[what]"
A2_71291a83		Our relationship used to be terrible,{w=.1} because she kept insulting me unprovoked when I was doing work in the library.	game/A1.rpy	24	"[what]"
A2_b85e4d2f		Speaking of which,{w=.1} humans really are strange creatures.	game/A1.rpy	25	"[what]"
A2_462eaeeb		When they stay with something long enough,{w=.1} they can even grow fond of a chihuahua,{w=.1} not to mention a beauty like [a].	game/A1.rpy	26	"[what]"
A2_86a86f11		Wait,{w=.1} I've digressed.	game/A1.rpy	27	"[what]"
A2_1410ae66		My point was,{w=.1} we became friends after we insulted each other for a long enough time.	game/A1.rpy	28	"[what]"
A3_aa6c7ccc	u	Why have you come here anyways?	game/A1.rpy	32	u "[what]"
A3_8cd35701	a	Hehe,{w=.1} do you know what day it is?	game/A1.rpy	35	a "[what]" nointeract
eA4_cab901e8	u	Hmm...	game/eA4.rpy	2	u "[what]"
eA4_c7ecbaab	u	It's Saturday,{w=.1} why?	game/eA4.rpy	3	u "[what]"
eA4_f468e089	a	Are you an idiot?	game/eA4.rpy	6	a "[what]"
eA4_14874f3e	u	No,{w=.1} I'm actually at the top of my class.	game/eA4.rpy	7	u "[what]"
eA4_2b80acac	a	What the fuck?!	game/eA4.rpy	8	a "[what]"
eA4_c4532f83	a	You know what I mean.	game/eA4.rpy	9	a "[what]"
eA4_0f07ccc4	u	?	game/eA4.rpy	10	u "[what]"
eA4_c5446f18	u	Really?	game/eA4.rpy	11	u "[what]"
eA4_c5f69ab9	a	It's C{w=0.6}-H{w=0.6}-R{w=0.6}-I{w=0.6}-S{w=0.6}-T{w=0.6}-M{w=0.6}-A{w=0.6}-S{w=0.6} E{w=0.6}-V{w=0.6}-E.	game/eA4.rpy	14	a "[what]"
eA4_9055ea9f	u	Can you speak English?	game/eA4.rpy	15	u "[what]"
eA4_178bf66c	u	Why're you just reciting the letters—	game/eA4.rpy	16	u "[what]"
eA4_bf19da70	u	Ohh,{w=.1} Christmas Eve.	game/eA4.rpy	17	u "[what]"
eA5_b592843e	u	And?	game/eA4.rpy	21	u "[what]"
eA5_960cefc7	a	'And?'?	game/eA4.rpy	24	a "[what]"
eA5_a1563e99	u	How does that explain anything?	game/eA4.rpy	25	u "[what]"
eA5_f2a95c03	a	You see...	game/eA4.rpy	28	a "[what]"
eA5_d6e85f20	a	Ufufu~	game/eA4.rpy	29	a "[what]"
eA5_f451a8d1	a	I'll give you the honour of going to the Christmas Market with you!	game/eA4.rpy	30	a "[what]"
eA5_88d049bf		She definitely has an ulterior motive.	game/eA4.rpy	31	"[what]"
eA5_c65af55d	u	What's the {i}real{/i} reason you need me to come?	game/eA4.rpy	32	u "[what]"
eA6_7dd52187	a	Oh no,{w=.1} you saw through me!	game/eA4.rpy	38	a "[what]"
eA6_fdbe9d78		She spoke in an overly-exaggerated manner.	game/eA4.rpy	39	"[what]"
eA6_61a2a741	a	The Christmas market has a couple's discount,{w=.1} so I need you to pretend to be my boyfriend.	game/eA4.rpy	42	a "[what]"
eA6_38b1cfc1	u	{i}Sigh...{/i}	game/eA4.rpy	43	u "[what]"
eA6_61b0aa0d	u	Please.{w=.3} What if they want us to prove it?	game/eA4.rpy	44	u "[what]"
eA6_028c6b55	a	Then we just prove it.	game/eA4.rpy	47	a "[what]"
eA6_ed304fe4	a	Even if they ask us to kiss each other as proof,	game/eA4.rpy	50	a "[what]"
eA6_ab84287e	a	It's not like either of us haven't had our first kisses yet,{w=.1} right?	game/eA4.rpy	51	a "[what]"
eA6_626517aa		Why's she looking at me like I'm the one who's brain damaged?	game/eA4.rpy	52	"[what]"
eA6_0a564d2b		I had my first kiss last year, when I was drunk.	game/eA4.rpy	53	"[what]"
eA6_37d0a4f8	u	Haha,{w=.1} yeah,{w=.1} right.	game/eA4.rpy	54	u "[what]"
eA6_e98014d4	u	Regardless,{w=.1} I won't go just because you say so. 	game/eA4.rpy	55	u "[what]"
eA6_c30cc133	a	Hehe,{w=.1} too bad,{w=.1} your mom already agreed to it.	game/eA4.rpy	58	a "[what]"
eA6_0a84af6a	u	What the fuck?!	game/eA4.rpy	59	u "[what]"
eA6_3a21b9fb	a	She asked you to make good use of the discount.	game/eA4.rpy	60	a "[what]"
eA6_7b1c1392	u	...	game/eA4.rpy	61	u "[what]"
eA6_42c644c3	u	{i}Sigh{/i}	game/eA4.rpy	62	u "[what]"
eA7_8405623f	u	So,{w=.1} when and where do we meet up?	game/eA4.rpy	66	u "[what]"
eA7_243b268f	a	Uhm...{w=.3} Call me later.	game/eA4.rpy	69	a "[what]"
eA7_c3329ca3	a	I haven't thought of that.	game/eA4.rpy	70	a "[what]"
eA7_90d25e81	u	Are you stupid?	game/eA4.rpy	71	u "[what]"
eA7_05046165	a	No,{w=.1} I'm actually at the top of the class.	game/eA4.rpy	74	a "[what]"
eA7_c69c3b0d		Did she really use my own retort against me?	game/eA4.rpy	75	"[what]"
eA7_ca685d55	u	When do I call you?	game/eA4.rpy	76	u "[what]"
eA7_749886f6	a	Around 5 p.m-ish?	game/eA4.rpy	77	a "[what]"
eA7_7b1c1392	u	...	game/eA4.rpy	78	u "[what]"
